Port_of_disembarqm,Date,Year,Month,Fishing_ground,Fishing_gear,Species,Total_Length_cm
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,20.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,51
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,48.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,54
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,46.2
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,48.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,39
NOVA VIÄOSA,12-03-2007,2007,3,FRENTE A VIÄOSA NO FUNDO ,Hand_line,L_synagris,24.5
JUAN PESCADOS,12-03-2007,2007,3,ABROLHOS,Hand_line,L_synagris,41.8
JUAN PESCADOS,12-03-2007,2007,3,ABROLHOS,Hand_line,L_synagris,38.5
JUAN PESCADOS,12-03-2007,2007,3,ABROLHOS,Hand_line,L_synagris,41
JUAN PESCADOS,12-03-2007,2007,3,ABROLHOS,Hand_line,L_synagris,42
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,39.3
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,47
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,40
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,42.9
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,50
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,42.7
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,39.5
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,48
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,41
PONTA DE AREIA,16-04-2007,2007,4,SUESTE,Hand_line,L_synagris,40
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,37
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,34.5
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.5
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,34.5
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,26
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.9
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.1
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,26.6
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.8
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,27.2
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,34.2
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,37.1
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,31.5
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,29.2
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,38.7
