"","X","Linf","K","t_anchor","C","ts","phiL","MA","BS"
"74",74,73.1394018787665,0.110954122507855,0.518012848764305,0.379168478404878,0.334578983818394,2.77344625197288,5,2
"75",75,73.2568413695705,0.132585619207849,0.566230092010282,0.674680088981599,0.624822013423757,2.85219279955666,5,2
"76",76,79.5333888083696,0.0613251179456711,0.414882943034172,0.633289977908134,0.305787101387978,2.588737367227,5,2
"77",77,71.105700692742,0.18938147521194,0.803300218373919,0.755008581027226,0.758813839204196,2.98114633606823,5,2
"78",78,77.4268784821033,0.158502787351608,0.394768804311752,0.783170074224472,0.351875424385071,2.97782040537987,5,2
"79",79,69.6525476574898,0.175918534398079,0.359206795692444,0.451936721801758,0.665740340948105,2.93118561038313,5,2
"80",80,73.892123489799,0.12214991517719,0.590208501107699,0.458349597434578,0.517782622953262,2.82408946445538,5,2
"81",81,73.6507447979878,0.130975368094303,0.605229876939524,0.681156259394759,0.378232102047946,2.85154391373124,5,2
"82",82,71.2941195424955,0.159599197932538,0.308012251007859,0.339344544015106,0.343752149664624,2.9091381244651,5,2
"83",83,72.5004579781619,0.176527512454675,0.45066537637428,0.564529600236863,0.354553258804159,2.96749390132225,5,2
"84",84,64.9856600189356,0.154523049175317,0.613494680855599,0.534957653085634,0.41843908693466,2.81462833772138,5,2
"85",85,64.9727618098259,0.10883155465126,0.205851346254349,0.803413465619087,0.695750430226326,2.66221748867879,5,2
"86",86,65.922361344099,0.185440987348557,0.297995343804359,0.504896149039268,0.796784222126007,2.9062712418112,5,2
"87",87,82.3222640007734,0.132237643003464,0.217113137245178,0.788164287805557,0.295391097664833,2.95238971128642,5,2
"88",88,60.1637813597918,0.212842911481857,0.439364284276962,0.548813670873642,0.531352147459984,2.88672943966899,5,2
"89",89,72.4690241962671,0.0867699235677719,0.481020703911781,0.933733209967613,0.321716800332069,2.65867404196413,5,2
"90",90,52.9080113470554,0.266043916344643,0.594794303178787,0.671474561095238,0.615667715668678,2.87199620834695,5,2
"91",91,58.6048058406972,0.205429330954076,0.328524125673934,0.343781759559915,0.530393069162401,2.84852891464192,5,2
"92",92,78.6489976942539,0.123599246144295,0.670062482357025,0.413588255643845,0.460674703121185,2.88340220657399,5,2
"93",93,59.4663730391935,0.214268545331431,0.412201185806774,0.577867467166289,0.523312480462078,2.87950132301199,5,2
"94",94,86.6527784317732,0.129544734954834,0.549582228064537,0.917564198374748,0.870882734656334,2.98798475174271,5,2
"95",95,85.7402178794146,0.109809070825577,0.584783762693405,0.382705062627792,0.340540662407875,2.90700738225213,5,2
"96",96,92.0628557950258,0.0967099070549011,0.38930656015873,0.615277528762817,0.163214668631554,2.91363985111481,5,2
"97",97,61.8717358410358,0.228521853685379,0.756309077143669,0.554041966795921,0.741712123155594,2.94191233929937,5,2
